Frequency - Amplitude	Voltage amplitude - Amplitude
4244.08	1.84527
4246.06	1.84541
4248	1.84534
4250.04	1.84583
4252.02	1.84604
4253.99	1.84635
4256	1.84628
4258.07	1.84649
4260.12	1.84652
4262.01	1.84646
4263.99	1.84685
4266.05	1.84701
4268.12	1.84728
4270.01	1.84731
4272.06	1.84757
4274.02	1.84761
4276.06	1.84779
4277.91	1.84772
4280	1.84799
4282.05	1.84833
4284.13	1.84834
4286.01	1.84885
4288.03	1.84868
4290.08	1.84905
4291.91	1.8489
4294.05	1.84923
4296.06	1.8493
4298.12	1.84978
4299.9	1.84959
4301.97	1.84986
4304.02	1.84992
4306.09	1.8502
4307.92	1.85014
4309.99	1.85041
4312.09	1.85023
4314.12	1.85115
4315.96	1.85082
4318.05	1.85112
4320.07	1.85094
4322.12	1.85098
4324.01	1.8513
4326.02	1.85148
4328.06	1.85139
4330.13	1.85182
4332.02	1.85178
4334.04	1.85175
4336.09	1.85193
4337.94	1.8522
4340.01	1.85263
4342.06	1.8527
4344.06	1.85264
4345.95	1.85283
4348.01	1.8527
4350.14	1.85307
4352.12	1.85315
4353.94	1.85344
4355.97	1.85341
4358.01	1.85358
4360.09	1.85413
4361.95	1.85387
4364	1.85416
4366.01	1.85401
4368.11	1.85413
4369.95	1.85434
4372	1.85455
4374.08	1.85489
4375.94	1.85522
4377.98	1.85474
4380.05	1.85495
4382.08	1.85519
4383.93	1.85536
4385.98	1.85567
4388.04	1.8557
4390.09	1.85569
4391.88	1.85599
4394.01	1.85604
4396.01	1.856
4398.15	1.85616
4400.01	1.85619
4402.02	1.85634
4404.05	1.85645
4406.12	1.85651
4408.01	1.85657
4410	1.85685
4412.04	1.85718
4413.95	1.85682
4415.98	1.85711
4418.04	1.85689
4420.11	1.85741
4421.95	1.85745
4424.03	1.85737
4425.99	1.85736
4428.03	1.85818
4429.96	1.85802
4431.96	1.85823
4434.06	1.85795
4436.09	1.8583
4437.96	1.85848
4440.02	1.85844
4442.07	1.85903
4444.13	1.85852
4446.01	1.85879
4447.99	1.85883
4450.09	1.85888
4451.91	1.85907
4453.96	1.85906
4456	1.85941
4458.09	1.85919
4459.96	1.85972
4462	1.85976
4464.03	1.85955
4466.14	1.85997
4467.95	1.8598
4470.05	1.86
4472.04	1.86018
4474.07	1.86026
4475.97	1.86038
4477.98	1.8606
4479.98	1.86071
4482.04	1.86076
4483.95	1.86092
4486.03	1.86106
4488.05	1.86098
4490.09	1.86108
4491.99	1.86106
4494.08	1.86132
4496.05	1.86124
4497.92	1.86166
4500.03	1.86145
4502.06	1.86173
4504.08	1.86179
